Mês;Item;Descrição;Valor
01/06/2026;CRECHE;MATEUS;0
01/07/2026;CRECHE;MATEUS;860
01/08/2026;CRECHE;MATEUS;860
01/09/2026;CRECHE;MATEUS;860
01/10/2026;CRECHE;MATEUS;860
01/11/2026;CRECHE;MATEUS;860
01/12/2026;CRECHE;MATEUS;860
01/01/2027;CRECHE;MATEUS;860
01/02/2027;CRECHE;MATEUS;860
01/03/2027;CRECHE;MATEUS;860
01/04/2027;CRECHE;MATEUS;860
01/05/2027;CRECHE;MATEUS;860
01/06/2027;CRECHE;MATEUS;860
01/07/2027;CRECHE;MATEUS;860
01/08/2027;CRECHE;MATEUS;860
01/09/2027;CRECHE;MATEUS;860
01/10/2027;CRECHE;MATEUS;860
01/11/2027;CRECHE;MATEUS;860
01/12/2027;CRECHE;MATEUS;860
01/06/2026;EMPRÉSTIMO CONSIGNADO - ITAÚ;9;957,51
01/07/2026;EMPRÉSTIMO CONSIGNADO - ITAÚ;10;957,51
01/08/2026;EMPRÉSTIMO CONSIGNADO - ITAÚ;11;957,51
01/09/2026;EMPRÉSTIMO CONSIGNADO - ITAÚ;12;957,51
01/10/2026;EMPRÉSTIMO CONSIGNADO - ITAÚ;13;957,51
01/11/2026;EMPRÉSTIMO CONSIGNADO - ITAÚ;14;957,51
01/12/2026;EMPRÉSTIMO CONSIGNADO - ITAÚ;15;957,51
01/01/2027;EMPRÉSTIMO CONSIGNADO - ITAÚ;16;957,51
01/02/2027;EMPRÉSTIMO CONSIGNADO - ITAÚ;17;957,51
01/03/2027;EMPRÉSTIMO CONSIGNADO - ITAÚ;18;957,51
01/04/2027;EMPRÉSTIMO CONSIGNADO - ITAÚ;19;957,51
01/05/2027;EMPRÉSTIMO CONSIGNADO - ITAÚ;20;957,51
01/06/2027;EMPRÉSTIMO CONSIGNADO - ITAÚ;21;957,51
01/07/2027;EMPRÉSTIMO CONSIGNADO - ITAÚ;22;957,51
01/08/2027;EMPRÉSTIMO CONSIGNADO - ITAÚ;23;957,51
01/09/2027;EMPRÉSTIMO CONSIGNADO - ITAÚ;24;957,51
01/10/2027;EMPRÉSTIMO CONSIGNADO - ITAÚ;25;957,51
01/11/2027;EMPRÉSTIMO CONSIGNADO - ITAÚ;26;957,51
01/12/2027;EMPRÉSTIMO CONSIGNADO - ITAÚ;27;957,51
01/01/2028;EMPRÉSTIMO CONSIGNADO - ITAÚ;28;957,51
01/02/2028;EMPRÉSTIMO CONSIGNADO - ITAÚ;29;957,51
01/03/2028;EMPRÉSTIMO CONSIGNADO - ITAÚ;30;957,51
01/04/2028;EMPRÉSTIMO CONSIGNADO - ITAÚ;31;957,51
01/05/2028;EMPRÉSTIMO CONSIGNADO - ITAÚ;32;957,51
01/06/2028;EMPRÉSTIMO CONSIGNADO - ITAÚ;33;957,51
01/07/2028;EMPRÉSTIMO CONSIGNADO - ITAÚ;34;957,51
01/08/2028;EMPRÉSTIMO CONSIGNADO - ITAÚ;35;957,51
01/09/2028;EMPRÉSTIMO CONSIGNADO - ITAÚ;36;957,51
01/06/2026;EMPRÉSTIMO PESSOAL - NUBANK;13;0
01/07/2026;EMPRÉSTIMO PESSOAL - NUBANK;14;0
01/08/2026;EMPRÉSTIMO PESSOAL - NUBANK;15;0
01/09/2026;EMPRÉSTIMO PESSOAL - NUBANK;16;0
01/10/2026;EMPRÉSTIMO PESSOAL - NUBANK;17;0
01/11/2026;EMPRÉSTIMO PESSOAL - NUBANK;18;0
01/12/2026;EMPRÉSTIMO PESSOAL - NUBANK;19;0
01/01/2027;EMPRÉSTIMO PESSOAL - NUBANK;20;0
01/02/2027;EMPRÉSTIMO PESSOAL - NUBANK;21;1797,45
01/03/2027;EMPRÉSTIMO PESSOAL - NUBANK;22;1797,45
01/04/2027;EMPRÉSTIMO PESSOAL - NUBANK;23;1797,45
01/05/2027;EMPRÉSTIMO PESSOAL - NUBANK;24;1797,45
01/06/2027;EMPRÉSTIMO PESSOAL - NUBANK;25;1797,45
01/07/2027;EMPRÉSTIMO PESSOAL - NUBANK;26;0
01/08/2027;EMPRÉSTIMO PESSOAL - NUBANK;27;0
01/09/2027;EMPRÉSTIMO PESSOAL - NUBANK;28;0
01/10/2027;EMPRÉSTIMO PESSOAL - NUBANK;29;0
01/11/2027;EMPRÉSTIMO PESSOAL - NUBANK;30;0
01/12/2027;EMPRÉSTIMO PESSOAL - NUBANK;31;0
01/01/2028;EMPRÉSTIMO PESSOAL - NUBANK;32;0
01/02/2028;EMPRÉSTIMO PESSOAL - NUBANK;33;0
01/03/2028;EMPRÉSTIMO PESSOAL - NUBANK;34;0
01/04/2028;EMPRÉSTIMO PESSOAL - NUBANK;35;0
01/05/2028;EMPRÉSTIMO PESSOAL - NUBANK;36;0
01/06/2028;EMPRÉSTIMO PESSOAL - NUBANK;37;0
01/07/2028;EMPRÉSTIMO PESSOAL - NUBANK;38;0
01/08/2028;EMPRÉSTIMO PESSOAL - NUBANK;39;0
01/09/2028;EMPRÉSTIMO PESSOAL - NUBANK;40;0
01/10/2028;EMPRÉSTIMO PESSOAL - NUBANK;41;0
01/11/2028;EMPRÉSTIMO PESSOAL - NUBANK;42;0
01/12/2028;EMPRÉSTIMO PESSOAL - NUBANK;43;0
01/01/2029;EMPRÉSTIMO PESSOAL - NUBANK;44;0
